#Name, Date, RaDeg, DecDeg, AlertMag, HistoricMag, HistoricStdDev, Class, Published, Comment
Gaia16bpt,2016-10-25 09:55:52,243.56557,-52.48172,17.28,19.31,0.80,"unknown",2016-10-30 22:11:25,"second 3mag outburst in faint Gaia source in the Galactic plane"
Gaia16bps,2016-10-25 08:39:11,97.67366,-39.34706,17.85,,,"unknown",2016-10-30 22:09:52,"candidate SN near galaxy 2MASX J06304129-3920519"
Gaia16bpr,2016-10-21 11:16:51,284.81306,18.24274,18.81,,,"unknown",2016-10-30 22:07:29,"hostless blue transient in the Galactic Plane"
Gaia16bpq,2016-10-21 14:04:22,96.30953,-4.11454,18.89,,,"unknown",2016-10-30 22:04:33,"hostless blue transient, Galactic plane"
Gaia16bpp,2016-10-25 02:20:55,91.11750,-20.34010,15.20,,,"SN Ia",2016-10-30 21:58:44,"confirmed bright SN Ia at edge of galaxy ESO 555-29"
Gaia16bpo,2016-10-23 23:23:27,278.33125,26.87754,18.10,,,"unknown",2016-10-30 14:01:43,"hostless blue transient"
Gaia16bpn,2016-10-13 03:38:11,227.59898,-59.23774,18.61,,,"unknown",2016-10-29 10:20:02,"unusual rising red transient in Galactic plane, emission lines in BP/RP?"
Gaia16bpm,2016-10-20 12:54:13,283.72911,9.64748,18.60,,,"unknown",2016-10-29 10:16:24,"rising blue transient on faint source in DSS"
Gaia16bpl,2016-09-24 10:15:31,107.23510,-18.62882,16.04,,,"unknown",2016-10-29 10:15:02,"candidate CV, declining blue transient"
Gaia16bpk,2016-10-07 12:28:07,358.02762,71.56186,18.15,,,"unknown",2016-10-29 10:12:48,"candidate SN near galaxy 2MASX J23520333+7133514"
Gaia16bpj,2016-10-23 10:49:28,267.30028,-2.22334,18.04,,,"unknown",2016-10-28 11:10:01,"candidate CV? Fast rising blue transient near faint source in DSS"
Gaia16bpi,2016-10-21 20:25:11,107.17241,-24.27922,17.45,18.67,0.42,"unknown",2016-10-27 22:39:28,"candidate AGN, 2 mag increase in variable source close to Galactic plane"
Gaia16bph,2016-10-19 05:45:29,244.76018,-42.72783,18.43,20.00,0.37,"unknown",2016-10-27 17:14:54,"Gaia source brightens by 1.5 mags"
Gaia16bpg,2016-10-19 03:02:00,156.64916,-49.73916,18.33,,,"unknown",2016-10-27 17:10:34,"candidate CV, hostless blue transient"
Gaia16bpf,2016-10-21 18:18:52,263.98350,-17.39580,17.33,,,"unknown",2016-10-27 17:07:37,"hostless blue transient"
Gaia16bpe,2016-10-19 08:11:54,109.82240,-9.93161,18.22,,,"unknown",2016-10-27 17:05:22,"candidate SN near galaxy 2MASX J07191651-0955517 "
Gaia16bpd,2016-10-19 19:23:01,75.56307,33.31191,18.58,,,"unknown",2016-10-27 17:02:11,"hostless blue declining transient"
